store_id,cat_id,date,sales,in_training
TX_1,FOODS,2011-01-29,3950.35,true
TX_1,FOODS,2011-01-30,3844.97,true
TX_1,FOODS,2011-01-31,2888.03,true
TX_1,FOODS,2011-02-01,3631.28,true
TX_1,FOODS,2011-02-02,3072.18,true
TX_1,FOODS,2011-02-03,4827.67,true
TX_1,FOODS,2011-02-04,2865.66,true
TX_1,FOODS,2011-02-05,4446.09,true
TX_1,FOODS,2011-02-06,4991.76,true
TX_1,FOODS,2011-02-07,3551.25,true
TX_1,FOODS,2011-02-08,2690.66,true
TX_1,FOODS,2011-02-09,3602.84,true
TX_1,FOODS,2011-02-10,3233.29,true
TX_1,FOODS,2011-02-11,3696.21,true
TX_1,FOODS,2011-02-12,4803.05,true
TX_1,FOODS,2011-02-13,5817.36,true
TX_1,FOODS,2011-02-14,3271.07,true
TX_1,FOODS,2011-02-15,3859.7,true
TX_1,FOODS,2011-02-16,3210.92,true
TX_1,FOODS,2011-02-17,2965.81,true
TX_1,FOODS,2011-02-18,3186.52,true
TX_1,FOODS,2011-02-19,3965.15,true
TX_1,FOODS,2011-02-20,4145.67,true
TX_1,FOODS,2011-02-21,3224.6,true
TX_1,FOODS,2011-02-22,2893.82,true
TX_1,FOODS,2011-02-23,2580.78,true
TX_1,FOODS,2011-02-24,3083.86,true
TX_1,FOODS,2011-02-25,3013.17,true
TX_1,FOODS,2011-02-26,3803.96,true
TX_1,FOODS,2011-02-27,4289.93,true
TX_1,FOODS,2011-02-28,3161.71,true
TX_1,FOODS,2011-03-01,3199.07,true
TX_1,FOODS,2011-03-02,3113.6,true
TX_1,FOODS,2011-03-03,3335.43,true
TX_1,FOODS,2011-03-04,2973.72,true
TX_1,FOODS,2011-03-05,4587.39,true
TX_1,FOODS,2011-03-06,5018.7,true
TX_1,FOODS,2011-03-07,4076.49,true
TX_1,FOODS,2011-03-08,3290.18,true
TX_1,FOODS,2011-03-09,3846.26,true
TX_1,FOODS,2011-03-10,3030.62,true
TX_1,FOODS,2011-03-11,3307.94,true
TX_1,FOODS,2011-03-12,4870.73,true
TX_1,FOODS,2011-03-13,4889.51,true
TX_1,FOODS,2011-03-14,3892.37,true
TX_1,FOODS,2011-03-15,4377.82,true
TX_1,FOODS,2011-03-16,3225.75,true
TX_1,FOODS,2011-03-17,3487.95,true
TX_1,FOODS,2011-03-18,3552.71,true
TX_1,FOODS,2011-03-19,3926.72,true
TX_1,FOODS,2011-03-20,4366.33,true
TX_1,FOODS,2011-03-21,3028.0,true
TX_1,FOODS,2011-03-22,2800.49,true
TX_1,FOODS,2011-03-23,2716.85,true
TX_1,FOODS,2011-03-24,2879.23,true
TX_1,FOODS,2011-03-25,2915.94,true
TX_1,FOODS,2011-03-26,3774.77,true
TX_1,FOODS,2011-03-27,4428.66,true
TX_1,FOODS,2011-03-28,2898.23,true
TX_1,FOODS,2011-03-29,2703.51,true
TX_1,FOODS,2011-03-30,2694.68,true
TX_1,FOODS,2011-03-31,2671.67,true
TX_1,FOODS,2011-04-01,4154.01,true
TX_1,FOODS,2011-04-02,4189.61,true
TX_1,FOODS,2011-04-03,4789.81,true
TX_1,FOODS,2011-04-04,3337.22,true
TX_1,FOODS,2011-04-05,3983.45,true
TX_1,FOODS,2011-04-06,3628.76,true
TX_1,FOODS,2011-04-07,3914.32,true
TX_1,FOODS,2011-04-08,3584.55,true
TX_1,FOODS,2011-04-09,5022.85,true
TX_1,FOODS,2011-04-10,4903.23,true
TX_1,FOODS,2011-04-11,4055.29,true
TX_1,FOODS,2011-04-12,4296.46,true
TX_1,FOODS,2011-04-13,3858.9,true
TX_1,FOODS,2011-04-14,3163.74,true
TX_1,FOODS,2011-04-15,4008.39,true
TX_1,FOODS,2011-04-16,4488.14,true
TX_1,FOODS,2011-04-17,4508.33,true
TX_1,FOODS,2011-04-18,3300.54,true
TX_1,FOODS,2011-04-19,3091.63,true
TX_1,FOODS,2011-04-20,2843.33,true
TX_1,FOODS,2011-04-21,2964.78,true
TX_1,FOODS,2011-04-22,3458.35,true
TX_1,FOODS,2011-04-23,4293.11,true
TX_1,FOODS,2011-04-24,4079.7,true
TX_1,FOODS,2011-04-25,2749.95,true
TX_1,FOODS,2011-04-26,2659.14,true
TX_1,FOODS,2011-04-27,2425.32,true
TX_1,FOODS,2011-04-28,2132.04,true
TX_1,FOODS,2011-04-29,2849.33,true
TX_1,FOODS,2011-04-30,3561.22,true
TX_1,FOODS,2011-05-01,4933.17,true
TX_1,FOODS,2011-05-02,3043.98,true
TX_1,FOODS,2011-05-03,3682.08,true
TX_1,FOODS,2011-05-04,2680.66,true
TX_1,FOODS,2011-05-05,3502.48,true
TX_1,FOODS,2011-05-06,5524.79,true
TX_1,FOODS,2011-05-07,4693.59,true
TX_1,FOODS,2011-05-08,3548.13,true
TX_1,FOODS,2011-05-09,4031.75,true
TX_1,FOODS,2011-05-10,3560.05,true
TX_1,FOODS,2011-05-11,3061.04,true
TX_1,FOODS,2011-05-12,3407.58,true
TX_1,FOODS,2011-05-13,4224.42,true
TX_1,FOODS,2011-05-14,4077.11,true
TX_1,FOODS,2011-05-15,5071.82,true
TX_1,FOODS,2011-05-16,3647.55,true
TX_1,FOODS,2011-05-17,3348.94,true
TX_1,FOODS,2011-05-18,2669.4,true
TX_1,FOODS,2011-05-19,2845.08,true
TX_1,FOODS,2011-05-20,3183.92,true
TX_1,FOODS,2011-05-21,3768.73,true
TX_1,FOODS,2011-05-22,4008.41,true
TX_1,FOODS,2011-05-23,2904.74,true
TX_1,FOODS,2011-05-24,2528.96,true
TX_1,FOODS,2011-05-25,2951.85,true
TX_1,FOODS,2011-05-26,2875.64,true
